case_id,expected_fault,ai_root_cause,ai_osi_layer,ai_confidence,ai_evidence,ai_next_command,ai_fix_steps
11,"Physical interface / cable issue","Access port Gi0/3 has line protocol down, a physical layer fault preventing the host from exchanging any traffic, including ARP, with the gateway","Layer 1","high","show interfaces Gi0/3 shows line protocol is down","show interfaces Gi0/3 status to check for a specific fault reason (notconnect, err-disabled, etc.) and inspect cabling/NIC","Check and reseat or replace the physical cable connecting the host to Gi0/3 | Verify the host's NIC is enabled, functioning, and not disabled in the OS | Check for duplex/speed mismatch or port errors with show interfaces Gi0/3 | Confirm line protocol comes up and the host can ping the gateway"
12,"ACL missing return traffic permit","Outbound ACL 110 lacks a permit rule for established/return TCP traffic, so responses to legitimate outbound web requests are blocked when they hit the ACL","Layer 3/4","medium","show access-lists 110 confirms there is no established/return rule present","show access-lists 110 (full listing) to confirm exact permit/deny ordering before inserting a new rule","Add a permit rule for established TCP sessions to ACL 110 (e.g., 'permit tcp any any established'), or replace with a reflexive/stateful ACL if supported | Place the new rule before any explicit deny statements in the ACL | Verify ACL 110 is still applied outbound on the correct interface | Test outbound web requests to confirm return traffic is now permitted"
13,"Wireless AP not trunked to correct VLANs","The AP's switch port is configured as an access port on native VLAN 1 rather than as a trunk, so it cannot carry tagged traffic for the wired VLANs wireless clients need to reach","Layer 2","medium","show vlan brief shows the AP port is not trunked and only carries access VLAN 1","show interfaces switchport for the AP port to confirm current mode and identify which VLANs need to be trunked","Reconfigure the AP-facing switch port from access mode to trunk mode | Allow the required VLANs (including the wireless client VLAN and management VLAN) on the trunk | Set the correct native VLAN to match the AP's expected configuration for untagged management traffic | Verify wireless clients can now reach the intended wired VLAN"
14,"OSPF area ID mismatch","OSPF neighbors are not forming between R1 and R2 because their OSPF area IDs on the shared segment do not match","Layer 3","medium","show ip ospf neighbor is empty and show run reveals mismatched area IDs between R1 and R2","show ip ospf interface brief on both routers to confirm the area assigned to each router's interface on the shared segment","Identify the correct OSPF area for the shared segment | Correct the mismatched area ID under the OSPF process or interface configuration on whichever router has the wrong value | Verify OSPF neighbor adjacency forms via show ip ospf neighbor | Confirm routes are exchanged as expected between R1 and R2"
15,"Port security or MAC learning issue","The switch is not learning the host's MAC address on the VLAN35 access port, most likely due to a port security restriction or other mechanism blocking MAC learning on that port","Layer 2","medium","show mac address-table shows no entry learned for the host's MAC address","show port-security interface <access-port> and show interfaces <access-port> status to check for port security violations or err-disable state","Check the port for port-security violations or an err-disabled status | If port security is misconfigured, correct the maximum MAC count or clear the violation with shutdown/no shutdown | Confirm the host's cable and NIC are functioning to rule out a Layer 1 issue | Verify the host's MAC address is learned via show mac address-table after remediation | Retest connectivity to the gateway"
16,"STP blocking the only active link","Spanning Tree Protocol has placed the only active SW1-SW2 link into a blocking state, preventing the switches from exchanging traffic and learning each other's MAC addresses across that link","Layer 2","medium","show spanning-tree shows the port is in a blocking state","show spanning-tree detail and show spanning-tree vlan <vlan-id> to identify the root bridge and why this port was placed in blocking state","Determine whether a redundant/looped path exists that legitimately requires STP to block a port, or if this is the only physical link between SW1 and SW2 (indicating a misconfiguration) | If unintended, review STP root bridge selection and port priorities/costs so this link transitions to forwarding | If a redundant link exists but is unneeded, remove it or intentionally tune STP costs/priorities to control the topology | Confirm the port moves to forwarding state and MAC learning resumes between SW1 and SW2"
12,"ACL missing return traffic permit","Outbound ACL 110 lacks a permit rule for established/return TCP traffic, so responses to legitimate outbound web requests are blocked when they hit the ACL","Layer 3/4","medium","show access-lists 110 confirms there is no established/return rule present","show access-lists 110 (full listing) to confirm exact permit/deny ordering before inserting a new rule","Add a permit rule for established TCP sessions to ACL 110 (e.g., 'permit tcp any any established'), or replace with a reflexive/stateful ACL if supported | Place the new rule before any explicit deny statements in the ACL | Verify ACL 110 is still applied outbound on the correct interface | Test outbound web requests to confirm return traffic is now permitted"
13,"Wireless AP not trunked to correct VLANs","The AP's switch port is configured as an access port on native VLAN 1 rather than as a trunk, so it cannot carry tagged traffic for the wired VLANs wireless clients need to reach","Layer 2","medium","show vlan brief shows the AP port is not trunked and only carries access VLAN 1","show interfaces switchport for the AP port to confirm current mode and identify which VLANs need to be trunked","Reconfigure the AP-facing switch port from access mode to trunk mode | Allow the required VLANs (including the wireless client VLAN and management VLAN) on the trunk | Set the correct native VLAN to match the AP's expected configuration for untagged management traffic | Verify wireless clients can now reach the intended wired VLAN"
14,"OSPF area ID mismatch","OSPF neighbors are not forming between R1 and R2 because their OSPF area IDs on the shared segment do not match","Layer 3","medium","show ip ospf neighbor is empty and show run reveals mismatched area IDs between R1 and R2","show ip ospf interface brief on both routers to confirm the area assigned to each router's interface on the shared segment","Identify the correct OSPF area for the shared segment | Correct the mismatched area ID under the OSPF process or interface configuration on whichever router has the wrong value | Verify OSPF neighbor adjacency forms via show ip ospf neighbor | Confirm routes are exchanged as expected between R1 and R2"
15,"Port security or MAC learning issue","The switch is not learning the host's MAC address on the VLAN35 access port, most likely due to a port security restriction or other mechanism blocking MAC learning on that port","Layer 2","medium","show mac address-table shows no entry learned for the host's MAC address","show port-security interface <access-port> and show interfaces <access-port> status to check for port security violations or err-disable state","Check the port for port-security violations or an err-disabled status | If port security is misconfigured, correct the maximum MAC count or clear the violation with shutdown/no shutdown | Confirm the host's cable and NIC are functioning to rule out a Layer 1 issue | Verify the host's MAC address is learned via show mac address-table after remediation | Retest connectivity to the gateway"
16,"STP blocking the only active link","Spanning Tree Protocol has placed the only active SW1-SW2 link into a blocking state, preventing the switches from exchanging traffic and learning each other's MAC addresses across that link","Layer 2","medium","show spanning-tree shows the port is in a blocking state","show spanning-tree detail and show spanning-tree vlan <vlan-id> to identify the root bridge and why this port was placed in blocking state","Determine whether a redundant/looped path exists that legitimately requires STP to block a port, or if this is the only physical link between SW1 and SW2 (indicating a misconfiguration) | If unintended, review STP root bridge selection and port priorities/costs so this link transitions to forwarding | If a redundant link exists but is unneeded, remove it or intentionally tune STP costs/priorities to control the topology | Confirm the port moves to forwarding state and MAC learning resumes between SW1 and SW2"
22,"Port security violation, max MAC count exceeded","Port security on the VLAN30 access port has a maximum of 1 MAC address, and connecting a new laptop triggered a security violation, placing the port into err-disabled state","Layer 2","medium","show interfaces status shows the port is err-disabled, consistent with the configured port-security max of 1 MAC address being exceeded","show port-security interface <access-port> to confirm the violation type (shutdown/restrict/protect) and the offending MAC address","Determine whether the new laptop is authorized to use this port | If authorized, increase the port-security maximum MAC count or clear the old/incorrect sticky MAC entry | Re-enable the port with 'shutdown' then 'no shutdown', or configure err-disable auto-recovery for security violations | Confirm the port returns to a connected/forwarding state with the new device"
23,"Wireless channel interference/overlap","Wireless clients are disconnecting due to high channel utilization and overlapping SSIDs/channels in the 2.4GHz band, causing RF interference","Layer 1","low","show wireless indicates high channel utilization and overlapping SSIDs, though the specific APs and exact channel assignments involved are not detailed in the output","show wireless <ap-name> channel and a site survey/spectrum analysis to identify the specific overlapping channels and interference sources","Review current channel assignments across nearby APs for overlap (non-overlapping 2.4GHz channels are typically 1, 6, 11) | Reassign channels to minimize overlap, or enable dynamic channel assignment (RRM) if supported | Consider migrating high-density areas to 5GHz where possible to reduce 2.4GHz congestion | Monitor client disconnect rates and channel utilization after changes to confirm improvement"
24,"Missing sub-interface for new VLAN","No sub-interface exists for the newly added VLAN 100 on the router-on-a-stick, so there is no configured path for inter-VLAN routing to/from VLAN 100","Layer 3","high","show run confirms there is no Gi0/0.100 sub-interface configured","show vlan brief to confirm VLAN 100 exists and is trunked to the router before configuring the sub-interface","Create sub-interface Gi0/0.100 on the router | Configure 'encapsulation dot1Q 100' and assign the appropriate IP address for VLAN 100's subnet | Ensure VLAN 100 is included in the trunk's allowed VLAN list on the connecting switch | Verify the new sub-interface is up and its route appears in show ip route | Test inter-VLAN routing to/from VLAN 100"
25,"Configuration not saved before reload","The default static route was configured but never saved to startup-config, so it was lost when the router reloaded","Layer 3","high","show run shows no ip route 0.0.0.0 0.0.0.0 entry, and the startup-config was confirmed not saved prior to reload","show startup-config | include ip route to confirm the default route is absent from the saved configuration","Re-add the default static route: 'ip route 0.0.0.0 0.0.0.0 <next-hop>' | Save the running configuration to startup-config with 'copy running-config startup-config' (or 'write memory') | Verify the route persists in startup-config | Establish a change-management practice to always save configuration changes after edits"
26,"ACL missing permit for DNS port 53","Outbound ACL 120 does not include a permit rule for UDP port 53, causing legitimate DNS queries destined for the external server to be blocked","Layer 4","medium","show access-lists 120 confirms there is no permit entry for udp port 53","show access-lists 120 (full listing) to determine the correct placement for a new permit statement relative to existing deny rules","Add a permit rule to ACL 120 allowing UDP traffic on port 53 to the appropriate DNS server destination(s) | Ensure the rule is ordered before any broader deny statements | Reapply/verify the ACL is still applied outbound on the correct interface | Test DNS resolution to the external server after the change"
27,"DTP negotiation failure / mismatched trunk mode","DTP negotiation between SW1 and SW2 is failing or mismatched, causing the link to settle into access mode instead of forming a trunk","Layer 2","medium","show interfaces switchport shows the port negotiated as access instead of trunk","show interfaces switchport on both ends of the link to compare DTP administrative mode (dynamic desirable/dynamic auto/access) on SW1 and SW2","Check DTP administrative mode on both switch ports involved in the link | Explicitly configure both ends as 'switchport mode trunk' with matching encapsulation rather than relying on DTP negotiation | Optionally disable DTP with 'switchport nonegotiate' once trunk mode is hard-set on both sides | Verify show interfaces trunk shows the link as a trunk carrying the expected VLANs"
28,"Guest VLAN not included in NAT source ACL","The NAT source ACL only covers the VLAN 10 subnet, so guest VLAN 90 traffic is never matched for translation and guest clients cannot reach the internet","Layer 3","high","show ip nat statistics shows no translations occurring for traffic sourced from VLAN 90","show access-lists <nat-source-acl> to confirm which subnets are currently permitted for NAT translation","Identify the ACL referenced by the 'ip nat inside source list' command | Add a permit entry for the VLAN 90 guest subnet to that ACL | Confirm the VLAN 90 SVI/interface is marked as 'ip nat inside' | Verify translations appear in show ip nat translations for guest-sourced traffic | Test internet access from a guest wireless client"
29,"Physical layer instability causing OSPF flapping","Physical layer instability on the R1-R2 link (evidenced by input errors) is causing the interface to flap, which triggers repeated OSPF neighbor state changes and route flapping","Layer 1","high","show ip ospf events shows frequent neighbor state changes, and show interfaces shows input errors present on the link","show interfaces <R1-R2 link> repeated over time, plus show controllers, to isolate the source of input errors (cabling, duplex mismatch, SFP/transceiver fault)","Inspect and, if necessary, replace the physical cable/transceiver between R1 and R2 | Check for duplex/speed mismatches on both ends of the link | Monitor input error counters over time to confirm improvement after remediation | Once the physical layer is stable, confirm OSPF neighbor state remains FULL without further flapping"
30,"VLAN5 SVI administratively down on L3 switch","The VLAN5 SVI on the L3 switch is administratively down, removing the routed interface for that subnet and isolating the server from all other VLANs, while intra-VLAN (Layer 2) connectivity within VLAN5 remains unaffected","Layer 3","high","show ip interface brief shows the VLAN5 SVI is administratively down","show running-config interface vlan5 to confirm IP addressing is otherwise intact before re-enabling","Enter interface configuration mode for interface vlan5 | Issue 'no shutdown' to bring the SVI up | Confirm show ip interface brief shows the VLAN5 SVI as up/up | Verify the VLAN5 subnet route reappears in show ip route on the L3 switch | Test connectivity from other VLANs to the VLAN5 server"
